"Sample_ID","Sample_ID_Old","Replica_name","Sample_name","Oncofusion","Kinase_Dead"
"X126.CCDC_ALK","CCDC88A.ALK_rep1.126","CCDC88A.ALK_1","CCDC88A:ALK","ALK","CTRL"
"X127C.CCDC_ALK","CCDC88A.ALK_rep2.127C","CCDC88A.ALK_2","CCDC88A:ALK","ALK","CTRL"
"X127N.CCDC_ALK","CCDC88A.ALK_rep3.127N","CCDC88A.ALK_3","CCDC88A:ALK","ALK","CTRL"
"X128C.C_AKD","CCDC88A.ALK_KD_rep1.128C","CCDC88A.ALK_KD_1","CCDC88A:ALK_KD","ALK","KD"
"X128N.CCDC_ALK","CCDC88A.ALK_rep4.128N","CCDC88A.ALK_4","CCDC88A:ALK","ALK","CTRL"
"X129C.C_AKD","CCDC88A.ALK_KD_rep2.129C","CCDC88A.ALK_KD_2","CCDC88A:ALK_KD","ALK","KD"
"X129N.C_AKD","CCDC88A.ALK_KD_rep3.129N","CCDC88A.ALK_KD_3","CCDC88A:ALK_KD","ALK","KD"
"X130C.PPP_ALK","PPP1CB.ALK_rep1.130C","PPP1CB.ALK_1","PPP1CB:ALK","ALK","CTRL"
"X130N.C_AKD","CCDC88A.ALK_KD_rep4.130N","CCDC88A.ALK_KD_4","CCDC88A:ALK_KD","ALK","KD"
"X131C.PPP_ALK","PPP1CB.ALK_rep2.131C","PPP1CB.ALK_2","PPP1CB:ALK","ALK","CTRL"
"X131N.PPP_ALK","PPP1CB.ALK_rep3.131N","PPP1CB.ALK_3","PPP1CB:ALK","ALK","CTRL"
"X132C.P_AKD","PPP1CB.ALK_KD_rep1.132C","PPP1CB.ALK_KD_1","PPP1CB:ALK_KD","ALK","KD"
"X132N.PPP_ALK","PPP1CB.ALK_rep4.132N","PPP1CB.ALK_4","PPP1CB:ALK","ALK","CTRL"
"X133C.P_AKD","PPP1CB.ALK_KD_rep2.133C","PPP1CB.ALK_KD_2","PPP1CB:ALK_KD","ALK","KD"
"X133N.P_AKD","PPP1CB.ALK_KD_rep3.133N","PPP1CB.ALK_KD_3","PPP1CB:ALK_KD","ALK","KD"
"X134N.P_AKD","PPP1CB.ALK_KD_rep4.134N","PPP1CB.ALK_KD_4","PPP1CB:ALK_KD","ALK","KD"
"X126.GOPC","GOPC.ROS1_rep1.126","GOPC.ROS1_1","GOPC:ROS1","ROS1","CTRL"
"X127C.GOPC","GOPC.ROS1_rep2.127C","GOPC.ROS1_2","GOPC:ROS1","ROS1","CTRL"
"X127N.GOPC","GOPC.ROS1_rep3.127N","GOPC.ROS1_3","GOPC:ROS1","ROS1","CTRL"
"X128C.GOPC_KD","GOPC.ROS1_KD_rep1.128C","GOPC.ROS1_KD_1","GOPC:ROS1_KD","ROS1","KD"
"X128N.GOPC_KD","GOPC.ROS1_KD_rep2.128N","GOPC.ROS1_KD_2","GOPC:ROS1_KD","ROS1","KD"
"X129C.CLIP","CLIP1.ROS1_rep1.129C","CLIP1.ROS1_1","CLIP1:ROS1","ROS1","CTRL"
"X129N.GOPC_KD","GOPC.ROS1_KD_rep3.129N","GOPC.ROS1_KD_3","GOPC:ROS1_KD","ROS1","KD"
"X130C.CLIP","CLIP1.ROS1_rep2.130C","CLIP1.ROS1_2","CLIP1:ROS1","ROS1","CTRL"
"X130N.CLIP","CLIP1.ROS1_rep3.130N","CLIP1.ROS1_3","CLIP1:ROS1","ROS1","CTRL"
"X131C.CLIP_KD","CLIP1.ROS1_KD_rep1.131C","CLIP1.ROS1_KD_1","CLIP1:ROS1_KD","ROS1","KD"
"X131N.CLIP_KD","CLIP1.ROS1_KD_rep2.131N","CLIP1.ROS1_KD_2","CLIP1:ROS1_KD","ROS1","KD"
"X132C.KIF","KIF21A.ROS1_rep1.132C","KIF21A.ROS1_1","KIF21A:ROS1","ROS1","CTRL"
"X132N.CLIP_KD","CLIP1.ROS1_KD_rep3.132N","CLIP1.ROS1_KD_3","CLIP1:ROS1_KD","ROS1","KD"
"X133C.KIF","KIF21A.ROS1_rep2.133C","KIF21A.ROS1_2","KIF21A:ROS1","ROS1","CTRL"
"X133N.KIF","KIF21A.ROS1_rep3.133N","KIF21A.ROS1_3","KIF21A:ROS1","ROS1","CTRL"
"X134C.KIF_KD","KIF21A.ROS1_KD_rep1.134C","KIF21A.ROS1_KD_1","KIF21A:ROS1_KD","ROS1","KD"
"X134N.KIF_KD","KIF21A.ROS1_KD_rep2.134N","KIF21A.ROS1_KD_2","KIF21A:ROS1_KD","ROS1","KD"
"X135N.KIF_KD","KIF21A.ROS1_KD_rep3.135N","KIF21A.ROS1_KD_3","KIF21A:ROS1_KD","ROS1","KD"
